id,category,type,name,level,amount,tier,force,produce,times,gem,gold,food,lumber,marble,steel,crystal,hero_fragments,locale_title,locale_desc
251,normal,gold_totalamount,,,3600000,,,,,,0,2935200,1354700,0,0,,,task_251_title,task_251_desc
252,normal,stronghold_amount,,,16,,,,,,102858,0,0,0,0,,,task_252_title,task_252_desc
253,normal,attack_pass,,,,,,,69,,102858,2935200,0,2935200,0,,,task_253_title,task_253_desc
254,special,hero_amount,,,38,,,,,,0,0,0,2935200,1467600,,,task_254_title,task_254_desc
255,normal,pvp_times,,,,,,,3,,0,0,1354700,2935200,1467600,,,task_255_title,task_255_desc
256,normal,get_tribute_times,,,,,,,5,,0,0,1354700,0,1467600,,,task_256_title,task_256_desc
257,normal,battle_win,,,,,,,10,,102858,0,1354700,2935200,0,,,task_257_title,task_257_desc
258,normal,force,,,,,2560,,,,0,2935200,0,0,0,,,task_258_title,task_258_desc
259,normal,resource_produce,food,,,,,96030,,,102858,0,0,0,0,,,task_259_title,task_259_desc
260,normal,gold_totalamount,,,7200000,,,,,,0,2935200,1354700,0,0,,,task_260_title,task_260_desc
261,normal,attack_npccity,,,,,,,155,,102858,0,0,0,0,,,task_261_title,task_261_desc
262,normal,attack_pass,,,,,,,78,,102858,2935200,0,2935200,0,,,task_262_title,task_262_desc
263,special,pvp_times,,,,,,,5,,0,0,1354700,2935200,1467600,,,task_263_title,task_263_desc
264,normal,building_level,townhall,11,,,,,,,0,0,1354700,0,1467600,,,task_264_title,task_264_desc
265,special,specify_building_level,armycamp_G,,,,,,,,0,0,2024300,4723200,2180000,,,task_265_title,task_265_desc
266,normal,specify_building_level,armycamp_G,11,,,,,,,0,0,2024300,4723200,2180000,,,task_266_title,task_266_desc
267,normal,building_level,dragonstemple,1,,,,,,,0,0,2024300,0,2180000,,,task_267_title,task_267_desc
268,normal,resource_level,,10,,,,,5,,300000,0,0,0,0,,,task_268_title,task_268_desc
269,normal,recruit_amount,,,1400000,,,,,,300000,0,0,0,0,,,task_269_title,task_269_desc
270,normal,troop_add_hero,armycamp_G,,,,,,6,,0,4723200,0,0,0,,,task_270_title,task_270_desc
271,normal,building_level,tavern,11,,,,,,,0,0,2024300,0,2180000,,,task_271_title,task_271_desc
272,special,battle_win,,,,,,,5,,300000,0,2024300,4723200,0,,,task_272_title,task_272_desc
273,normal,get_tribute_times,,,,,,,1,,0,0,2024300,0,2180000,,,task_273_title,task_273_desc
274,normal,building_level,templeofthewoods,10,,,,,,,0,0,2024300,0,2180000,,,task_274_title,task_274_desc
275,normal,recruit,,,,,,,42,,0,0,2024300,4723200,2180000,,,task_275_title,task_275_desc
276,normal,resource_amount,,,238,,,,,,0,4723200,2024300,0,0,,,task_276_title,task_276_desc
277,normal,building_level,hallofstone,9,,,,,,,0,0,2024300,0,2180000,,,task_277_title,task_277_desc
278,normal,hero_level,,51,,,,,,,0,4723200,0,0,2180000,,,task_278_title,task_278_desc
279,special,resource_level,,11,,,,,1,,300000,0,0,0,0,,,task_279_title,task_279_desc
280,normal,hero_amount,,,42,,,,,,0,0,0,4723200,2180000,,,task_280_title,task_280_desc
281,normal,building_level,altarofchaos,2,,,,,,,0,0,2024300,0,2180000,,,task_281_title,task_281_desc
282,normal,stronghold_amount,,,17,,,,,,300000,0,0,0,0,,,task_282_title,task_282_desc
283,normal,recruit_amount,,,2800000,,,,,,300000,0,0,0,0,,,task_283_title,task_283_desc
284,normal,resource_level,,11,,,,,3,,300000,0,0,0,0,,,task_284_title,task_284_desc
285,special,resource_produce,steel,,,,,70257,,,300000,0,0,0,0,,,task_285_title,task_285_desc
286,normal,building_level,storage,11,,,,,,,0,0,2024300,0,2180000,,,task_286_title,task_286_desc
287,normal,hero_amount,,,43,,,,,,0,0,0,4723200,2180000,,,task_287_title,task_287_desc
288,normal,attack_npccity,,,,,,,175,,300000,0,0,0,0,,,task_288_title,task_288_desc
289,normal,gold_totalamount,,,10500000,,,,,,0,4723200,2024300,0,0,,,task_289_title,task_289_desc
290,normal,stronghold_amount,,,18,,,,,,300000,0,0,0,0,,,task_290_title,task_290_desc
291,normal,attack_pass,,,,,,,88,,300000,4723200,0,4723200,0,,,task_291_title,task_291_desc
292,special,hero_amount,,,44,,,,,,0,0,0,4723200,2180000,,,task_292_title,task_292_desc
293,normal,pvp_times,,,,,,,3,,0,0,2024300,4723200,2180000,,,task_293_title,task_293_desc
294,normal,get_tribute_times,,,,,,,5,,0,0,2024300,0,2180000,,,task_294_title,task_294_desc
295,normal,battle_win,,,,,,,10,,300000,0,2024300,4723200,0,,,task_295_title,task_295_desc
296,normal,force,,,,,5120,,,,0,4723200,0,0,0,,,task_296_title,task_296_desc
297,normal,resource_produce,lumber,,,,,112410,,,300000,0,0,0,0,,,task_297_title,task_297_desc
298,normal,gold_totalamount,,,21000000,,,,,,0,4723200,2024300,0,0,,,task_298_title,task_298_desc
299,normal,attack_npccity,,,,,,,195,,300000,0,0,0,0,,,task_299_title,task_299_desc
300,normal,attack_pass,,,,,,,98,,300000,4723200,0,4723200,0,,,task_300_title,task_300_desc
